본관	파	이름	파(한자)	이표기	상위	계	파조	파조(한자)	수록 인물수	파조 노드
김해 김씨	상서공파	상서공파 (사군파)	尙書公派		사군파		김감	金鑑		
김해 김씨	공간공파	공간공파	恭簡公派		사군파		김조	金銚		
김해 김씨	삼현파	삼현파	三賢派	판도판서공파			김관	金管		wd:Q135630438
김해 김씨	군수공파	군수공파	郡守公派		삼현파		김건	金建		
김해 김씨	참판공파	참판공파 (삼현파)	參判公派		삼현파		김맹	金孟		
김해 김씨	한림공파	한림공파 (삼현파)	翰林公派		삼현파		김용	金勇		
김해 김씨	진사공파	진사공파 (삼현파)	進士公派		삼현파		김순	金順		
김해 김씨	녹사공파	녹사공파	錄事公派		삼현파		김인	金靭		
김해 김씨	진의공파	진의공파	進義公派		삼현파		김현	金鉉		
김해 김씨	판서공파	판서공파 (정국계)	判書公派			정국계	김유공	金維公		
김해 김씨	부호군공파	부호군공파 (정국계)	副護軍公派			정국계	김거공	金巨公		
김해 김씨	우후공파	우후공파	虞侯公派			정국계	김옥진	金玉振		
김해 김씨	승사랑공파	승사랑공파	承仕郞公派			정국계	김지서	金之瑞		
김해 김씨	부정공파	부정공파	副正公派			정국계	김평	金平		
김해 김씨	판도판서공파	판도판서공파	版圖判書公派			정국계	김첨검	金添釰		
김해 김씨	록사공파	록사공파	錄事公派			서지계	김소	金炤		
김해 김씨	판전공파	판전공파	判典公派			상현계	김명택	金明澤		
김해 김씨	판서공파	판서공파 (상현계)	判書公派			상현계	김불비	金不比		
김해 김씨	좌정승공파	좌정승공파	左政丞公派			상현계	김만희	金萬希		
김해 김씨	참봉공파	참봉공파 (상현계)	参奉公派			상현계	김인서	金鱗瑞		
김해 김씨	숭정공파	숭정공파	崇政公派			상현계	김종정	金宗貞		
김해 김씨	상서공파	상서공파 (상현계)	尙書公派			상현계	김홍보	金洪寶		
김해 김씨	부호군공파	부호군공파 (상현계)	副護軍公派			상현계	김천익	金天翼		
김해 김씨	판결사공파	판결사공파	判決事公派			상현계	김을동	金乙棟		
김해 김씨	단련사공파	단련사공파	團鍊使公派			상현계	김경	金慶		
김해 김씨	진사공파	진사공파 (상현계)	進士公派			상현계	김건	金虔		
김해 김씨	좌윤공파	좌윤공파	左尹公派			상현계	김국담	金國潭		
김해 김씨	충정공파	충정공파 (상현계)	忠精公派			상현계	김이장	金以障		
김해 김씨	참봉공파	참봉공파 (상인계)	叅奉公派			상인계	김청유	金淸有		
김해 김씨	유수공파	유수공파	留守公派			상인계	김운	金芸		
김해 김씨	운은공파	운은공파	雲隱公派			진의계	김대진	金大震		
김해 김씨	율은공파	율은공파	栗隱公派			진의계	김손	金遜		
